862759,11,5
1166950,11,2
669077,11,3
970936,11,3
2162641,11,4
303948,11,3
1181550,11,3
1683079,11,2
1082752,11,3
2256054,11,3
174683,11,3
2105661,11,2
827322,11,2
370346,11,1
1572201,11,2
156078,11,1
1559022,11,3
660495,11,3
2615605,11,2
925448,11,3
1407746,11,2
727242,11,1
1487081,11,4
1167572,11,3
1110571,11,4
2294328,11,3
1562015,11,3
2558337,11,1
87185,11,2
923606,11,2
1591199,11,3
1811603,11,3
1689425,11,3
1198849,11,3
1365370,11,4
2439493,11,1
1573980,11,3
71795,11,4
1866729,11,3
772738,11,5
1729469,11,1
439870,11,4
1656839,11,3
1895682,11,2
2344006,11,3
2419782,11,2
1903582,11,4
2314419,11,3
919564,11,1
1613733,11,1
1377751,11,1
2320436,11,3
502182,11,2
1048749,11,3
2423082,11,2
2590631,11,3
1429828,11,3
226609,11,4
1060346,11,2
2531844,11,3
2388118,11,2
1369078,11,3
2397196,11,3
2421477,11,3
413385,11,3
713544,11,3
1552165,11,3
1700308,11,4
2507768,11,5
1693152,11,4
1031887,11,4
824277,11,4
1291766,11,2
2253129,11,2
2166206,11,2
1085953,11,2
36827,11,4
1255155,11,2
1664010,11,3
1819300,11,4
1616284,11,5
858405,11,3
1642347,11,3
1233994,11,4
977222,11,4
2202430,11,4
2126467,11,3
901931,11,3
954642,11,2
1712616,11,4
767518,11,4
178143,11,3
1562197,11,2
1312448,11,2
1795420,11,2
2044640,11,5
2345015,11,2
697474,11,4
882069,11,1
2556737,11,1
6018,11,3
1686647,11,3
953586,11,5
1822001,11,4
528851,11,3
2291306,11,2
833859,11,3
273212,11,2
673040,11,3
2503369,11,2
2553741,11,3
1472971,11,5
1960115,11,4
541569,11,2
766434,11,5
1254363,11,4
1048579,11,4
2193086,11,3
1333823,11,5
1694689,11,4
1340920,11,4
1021080,11,4
888393,11,4
510593,11,4
1157185,11,3
1419139,11,1
2118342,11,4
1887139,11,5
2546451,11,2
386427,11,2
305344,11,1
2558212,11,5
471790,11,4
1012466,11,3
798319,11,3
412641,11,3
669117,11,1
754271,11,5
2605571,11,2
1017290,11,4
343818,11,3
1113503,11,4
2189446,11,5
1335658,11,4
1963869,11,3
22015,11,3
363450,11,4
1973975,11,3
205950,11,4
317325,11,1
1348856,11,3
1287003,11,2
1767524,11,3
929903,11,3
1130374,11,3
934315,11,3
1438614,11,3
2254502,11,3
989013,11,3
1052633,11,3
2618568,11,5
2610630,11,4
1389422,11,3
387418,11,1
1361282,11,3
336829,11,4
230025,11,3
580970,11,1
2046878,11,2
578415,11,4
2645621,11,3
2432988,11,3
1565026,11,3
2565053,11,5
2122667,11,1
117703,11,2
267107,11,3
1639792,11,1
1035139,11,3
135215,11,5
1365384,11,3
2230283,11,4
2299436,11,4
1506406,11,5
515952,11,3
90554,11,3
2398862,11,4
1340811,11,4
2434700,11,4
1600674,11,5
1278132,11,5
2487990,11,2
2546815,11,2
1573865,11,4
343269,11,1
2057056,11,4
1697157,11,2
770268,11,3
